pm2.5,pm10,no,no2,so2,co,nox,ozone,rh,ws,vws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene,o_xylene,AQI,Category
7.0,51.57,7.41,27.93,,1.25,34.66,25.46,93.95,0.69,-0.08,188.81,,2024-01-01 00:00:00,15.23,,,,,,50,Good
7.0,51.57,7.51,27.21,13.42,1.09,33.94,22.61,93.95,0.71,-0.08,197.01,,2024-01-01 00:15:00,15.33,0.66,0.43,1.9,0.37,,50,Good
7.03,51.57,7.36,27.93,13.66,1.03,33.81,26.16,93.95,0.61,-0.08,197.97,,2024-01-01 00:30:00,15.15,0.67,0.43,1.85,0.37,,50,Good
8.42,56.81,7.29,27.31,13.4,0.94,34.11,21.68,93.95,0.63,-0.08,202.0,,2024-01-01 00:45:00,15.41,0.68,0.43,1.84,0.37,,50,Good
10.72,57.94,7.38,27.34,13.52,0.99,33.7,21.13,93.94,0.51,-0.08,189.58,,2024-01-01 01:00:00,15.21,0.68,0.42,1.87,0.37,,50,Good
10.72,57.94,7.51,27.9,13.76,1.09,33.3,23.4,93.94,0.63,-0.08,172.53,,2024-01-01 01:15:00,15.26,0.68,0.42,1.86,0.38,,50,Good
10.72,57.94,7.33,27.22,13.5,1.06,34.41,24.35,93.94,0.68,-0.08,178.57,,2024-01-01 01:30:00,15.11,0.69,0.41,1.88,0.4,,50,Good
9.94,61.22,7.1,27.52,13.61,1.08,34.56,27.6,93.95,0.57,-0.07,224.47,,2024-01-01 01:45:00,15.35,0.67,0.43,1.89,0.38,,50,Good
8.55,61.99,7.35,28.29,13.31,1.24,33.56,27.03,93.95,0.56,-0.08,210.47,,2024-01-01 02:00:00,15.14,0.66,0.42,1.88,0.37,,50,Good
8.56,61.99,7.25,27.62,13.53,0.91,33.07,26.91,93.95,0.68,-0.08,209.15,,2024-01-01 02:15:00,15.45,0.67,0.41,1.95,0.38,,50,Good
8.54,61.99,7.2,27.56,13.42,1.1,33.62,28.22,93.95,0.62,-0.08,215.23,,2024-01-01 02:30:00,15.11,0.68,0.41,1.9,0.38,,50,Good
10.79,62.61,7.15,27.4,13.35,1.12,33.54,26.03,93.95,0.56,-0.07,223.24,,2024-01-01 02:45:00,15.19,0.68,0.4,1.86,0.38,,50,Good
14.74,62.75,7.59,27.86,13.3,1.12,33.36,24.0,93.95,0.58,-0.07,248.59,,2024-01-01 03:00:00,15.32,0.67,0.43,1.84,0.39,,50,Good
14.76,62.75,7.21,27.27,13.56,1.43,33.4,28.13,93.95,0.6,-0.07,228.13,,2024-01-01 03:15:00,15.36,0.69,0.43,1.87,0.38,,50,Good
14.78,62.75,7.25,27.06,13.7,0.88,33.02,28.08,93.95,0.41,-0.07,235.49,,2024-01-01 03:30:00,15.56,0.68,0.43,1.88,0.36,,50,Good
13.29,69.14,7.09,28.41,13.62,1.03,34.13,28.23,93.95,0.55,-0.06,214.99,,2024-01-01 03:45:00,15.34,0.69,0.43,1.86,0.36,,50,Good
10.52,70.52,6.92,27.82,13.59,1.05,33.66,24.34,93.95,0.67,-0.07,200.5,,2024-01-01 04:00:00,15.08,0.67,0.43,1.86,0.37,,50,Good
10.57,70.52,7.5,27.92,13.59,1.08,33.57,32.76,93.95,0.63,-0.06,235.05,,2024-01-01 04:15:00,15.29,0.68,0.43,1.84,0.37,,50,Good
10.47,70.52,7.18,27.53,13.44,0.94,34.85,30.71,93.95,0.66,-0.06,236.86,,2024-01-01 04:30:00,15.26,0.7,0.46,1.82,0.37,,50,Good
10.12,59.33,7.14,27.41,13.63,1.01,34.09,27.84,93.95,0.59,-0.06,222.51,,2024-01-01 04:45:00,15.17,0.61,0.41,1.85,0.38,,50,Good
